utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed,actived
2014-11-05,0,0.0,0,0,0
2014-11-06,0,0.0,0,0,0
2014-11-07,0,0.0,0,0,0
2014-11-08,0,0.0,0,0,0
2014-11-09,0,0.0,0,0,0
2014-11-10,128,5326.116774831332,4,0,77
2014-11-11,157,9764.587747331843,22,0,92
2014-11-12,127,8617.606841666673,33,0,87
2014-11-13,105,7435.402797499268,31,0,80
2014-11-14,148,7870.680567998572,24,1,97
2014-11-15,118,10304.91224033386,43,0,88
2014-11-16,124,9593.344475169313,43,0,96
2014-11-17,144,11269.839057503377,52,0,113
2014-11-18,138,11033.233034666146,38,0,101
2014-11-19,146,11936.31362883493,47,0,110
2014-11-20,129,10378.372508667862,69,0,100
2014-11-21,111,10271.121604335587,48,0,94
2014-11-22,110,9464.028594497728,49,0,80
2014-11-23,87,7906.2287393341285,38,0,72
2014-11-24,122,10185.971880168987,60,3,95
2014-11-25,118,10835.35396483133,51,0,100
2014-11-26,120,9891.560634003003,51,2,95
2014-11-27,82,6157.115338829628,35,0,65
2014-11-28,85,6248.70938199803,34,0,62
2014-11-29,74,6631.830501170419,28,0,62
2014-11-30,75,7083.221514664903,43,0,59
2014-12-01,109,9486.262653168005,36,1,83
2014-12-02,125,8375.46980799957,42,0,91
2014-12-03,118,8529.042617497564,35,2,90
2014-12-04,142,9839.122666666563,43,0,114
2014-12-05,141,10138.438803668218,48,3,104
2014-12-06,92,8934.691077331641,44,1,75
2014-12-07,110,9026.709393002962,55,1,90
2014-12-08,147,11494.606410335791,54,1,115
2014-12-09,165,11271.004415999898,46,0,130
2014-12-10,133,10912.059685330632,44,1,108
2014-12-11,141,9463.15170666979,33,0,117
2014-12-12,107,8398.15326133355,38,1,92
2014-12-13,127,10414.85299716522,50,1,105
2014-12-14,136,10337.953201331971,67,0,110
2014-12-15,122,9964.023311833564,56,2,99
2014-12-16,130,9768.331071997074,42,0,103
2014-12-17,149,11537.950244666388,59,0,116
2014-12-18,126,9663.799641496675,43,5,100
2014-12-19,124,10810.915882166302,62,1,104
2014-12-20,112,8199.65375033396,41,0,96
2014-12-21,115,8948.976515165403,47,0,94
2014-12-22,113,11232.393123331594,54,1,96
2014-12-23,135,11081.890673829861,61,3,111
2014-12-24,96,6006.961153165257,29,0,88
2014-12-25,70,6281.246624998069,32,0,60
2014-12-26,86,5955.248358831939,26,0,75
2014-12-27,100,9016.75561300053,41,0,78
2014-12-28,81,7255.850048166981,38,0,70
2014-12-29,117,10376.67545616343,43,0,95
2014-12-30,126,13068.717695997717,56,1,104
2014-12-31,117,8241.4444630009,38,6,88
2015-01-01,84,5723.931761998782,22,2,68
2015-01-02,115,8796.665441000898,46,3,90
2015-01-03,95,7263.964727162527,38,0,74
2015-01-04,109,8573.819364166753,41,0,87
2015-01-05,120,9687.939927497962,47,1,95
2015-01-06,139,12434.54218433553,57,0,119
2015-01-07,175,14292.804709334761,68,7,145
2015-01-08,210,15915.959403335284,77,1,157
2015-01-09,187,14541.476690166053,60,2,154
2015-01-10,171,12687.752499001306,56,0,132
2015-01-11,179,16555.9078473313,86,0,139
2015-01-12,238,17085.27111883217,66,2,184
2015-01-13,225,15508.472414832033,58,4,177
2015-01-14,198,14184.763894833932,66,4,156
2015-01-15,178,13545.95275316862,54,1,149
2015-01-16,157,13262.201178166897,50,1,127
2015-01-17,142,11674.8404395002,56,1,112
2015-01-18,146,11078.75434899725,67,1,123
2015-01-19,141,13053.608745996456,71,1,119
2015-01-20,160,12126.99922916756,55,1,136
2015-01-21,168,12342.84383117059,69,7,140
2015-01-22,157,11980.063930000688,59,6,132
2015-01-23,126,9871.60603633108,42,8,105
2015-01-24,124,11502.819199998365,64,3,107
2015-01-25,127,9861.439157667319,56,0,109
2015-01-26,152,11386.427240832927,55,7,122
2015-01-27,160,12647.391285832371,63,2,132
2015-01-28,163,12690.839036832998,68,5,136
2015-01-29,154,11967.800035498849,58,5,132
2015-01-30,125,10086.349478330612,56,3,101
2015-01-31,135,10440.724208667467,50,3,110
2015-02-01,136,10764.970108829453,65,0,107
2015-02-02,171,11352.89920033425,56,4,137
2015-02-03,164,11034.864324003855,53,4,130
2015-02-04,153,10038.882130000526,62,2,126
2015-02-05,163,10062.898638495053,56,1,132
2015-02-06,169,11391.126123999558,58,5,133
2015-02-07,145,12007.122260165457,71,3,115
2015-02-08,154,12326.050613999914,75,1,120
2015-02-09,199,14956.400611667894,81,3,159
2015-02-10,204,15263.372429496798,80,8,159
2015-02-11,204,14686.292657668137,70,5,168
2015-02-12,163,12283.471836833935,71,6,132
2015-02-13,144,10168.530581833318,62,3,119
2015-02-14,128,9988.60235016801,53,1,107
2015-02-15,151,12658.483187830901,69,0,117
2015-02-16,164,14416.729690000982,77,7,135
2015-02-17,185,14770.923030996793,68,3,149
2015-02-18,152,11477.612654165621,47,1,137
2015-02-19,163,12542.451299999146,71,3,134
2015-02-20,143,11538.70342666564,64,5,118
2015-02-21,143,10638.68662949991,59,3,119
2015-02-22,161,13996.413511832776,69,0,133
2015-02-23,188,13126.360185833864,55,2,152
2015-02-24,160,13751.55795666713,73,8,142
2015-02-25,177,12446.469491834621,69,12,145
2015-02-26,153,9844.942536166633,49,2,126
2015-02-27,126,9148.16060833109,46,2,109
2015-02-28,115,9255.747803995911,45,4,103
2015-03-01,136,11620.001619498109,64,0,110
2015-03-02,156,11104.785987334068,78,4,133
2015-03-03,156,12088.942139838142,64,5,131
2015-03-04,171,11407.642606004005,60,6,135
2015-03-05,201,12607.953194336942,52,4,157
2015-03-06,173,13337.400508168272,48,3,139
2015-03-07,148,9397.15848883164,41,4,120
2015-03-08,174,13466.85067000484,40,2,138
2015-03-09,197,13914.61550050394,39,6,151
2015-03-10,206,14066.510281663599,44,7,166
2015-03-11,167,11368.566867999549,41,5,139
2015-03-12,164,12348.130525997147,48,7,141
2015-03-13,130,8350.538697167034,27,3,105
