,位置,名称,建筑面积(平方米),总价（元）,户型,朝向,楼层,每平米售价（元）,装修情况
0,天河,马赛国际公寓 珠江新城精美大单间近猎德地铁稀有户型带精装,68,3250000,1室1厅,西北,中层/33层,47794,精
1,番禺,锦绣半岛 温馨精致三房  望花园 环境舒适 空气清新 ,96.7,3380000,3室2厅,西北,低层/25层,34953,精
2,天河,五山花园一期 精装三房，配套齐全，环境好,115,7500000,3室2厅,北,中层/8层,65217,精
3,番禺,湖景居 ！81平米 祈福，高品味生活从点击此房开始！,81,2250000,3室2厅,北,中层/4层,27778,普通
4,天河,邮通小区 精装舒适  地铁物业 南向望花园  宜居小区,60,2600000,2室1厅,南,低层/9层,43333,精
5,天河,碧海湾 珠江新城 大3房 方正实用 望江景小蛮腰,178,13000000,4室2厅,南,低层/28层,73034,精
6,番禺,锦绣半岛 全新装修 一线江景 南北通透  环境舒适,139.54,5600000,3室2厅,北,高层/28层,40132,精
7,海珠,南景园 中层电梯实用4房 东南靓向 采光通风好 看房方便,116.77,4800000,4室2厅,东南,低层/12层,41106,普通
8,番禺,洛湖居 地铁旁 精装修 南向两房 婚房之选 诚售 有匙看,69.4,2200000,2室1厅,南,高层/6层,31700,精
9,番禺,奥园养生广场 不一般价格优惠温馨公寓值得您拥有抢钱吧,82,1600000,2室1厅,东北,中层/29层,19512,精
10,黄埔,怡园小区  四房 户型实用简洁、方便看房,130,5200000,4室2厅,北,低层/8层,40000,精
11,天河,盈彩美居 新推出高性价比3房 格局方正 业主置换 诚心出售 ,92.5,3800000,3室2厅,西,高层/11层,41081,精
12,黄埔,金碧世纪花园 一期南北通透大两房 目前出租 可看房,69,2700000,2室2厅,南,高层/17层,39130,普通
13,番禺,君华御府 新小区 复试大4房 中间位置  南向电梯高层视野好,76,3500000,4室2厅,南,高层/33层,46053,毛坯
14,番禺,东雅园 电梯快捷   交通方便  ,102,3000000,3室2厅,南,中层/12层,29412,精
15,番禺,广州雅居乐北苑 滟澜街精装三房,102,4600000,3室2厅,北,中层/26层,45098,精
16,番禺,海怡花园 东南 三房两厅 清雅安静 三面环江 江边大道散步赞,89.3,3100000,3室2厅,东南,低层/28层,34714,精
17,番禺,雅居乐花园  十年小雅 精装三房 靠地铁,90.1,3600000,3室2厅,北,低层/33层,39956,普通
18,天河,盈彩美居 东南向三房 极少放盘 自住 保养好 地铁13号物业,98,4400000,3室2厅,南,中层/11层,44898,普通
